Timestamp,Are you from the US?,"If so, what state are you from?",How old are you?,How knowledgeable are you about baking?,"Are ""frosting"" and ""icing"" different, or are they different words for the same thing? ",What would you say is on the cupcake in Image 1?,What would you say is on the doughnuts in Image 2?,What would you say is on the cake in Image 3?,What would you say is on the cake in Image 4?,What would you say is on the roll in Image 5?,Do you have any additional comments to make on these words?
2/24/2016 12:44:10,Yes,AK,31-40 years old,I know some things about baking,Different things,Frosting,Icing,Frosting,Icing,Icing,
2/24/2016 9:30:24,Yes,CA,21-30 years old,I know some things about baking,Different things,Frosting,Not sure,Frosting,Icing,Icing,
2/24/2016 21:03:32,Yes,CA,21-30 years old,I know a lot about baking,Different things,Frosting,Icing,fondant,Frosting,Icing,"Frosting= fluffy, on cakes and cupcakes, often buttercream. Icing=thin, often just powdered sugar and water, sometimes on cakes but more often on cookies and pastries."
2/24/2016 8:18:35,Yes,CA,21-30 years old,I know some things about baking,Different words for the same thing,Frosting,Icing,Either frosting or icing,Icing,Either frosting or icing,I will eat all of it. 
2/24/2016 8:54:27,Yes,CA,21-30 years old,I know a lot about baking,Different things,Frosting,Glaze,fondant,Icing,Icing,"I've noticed that I have a very strong distinction between icing and frosting, whereas other people I know don't."
2/24/2016 18:17:01,Yes,CA,21-30 years old,I know a lot about baking,Not sure,Either frosting or icing,Glaze,fondant,Icing,Icing,
2/24/2016 8:48:54,Yes,CA,21-30 years old,I know some things about baking,Different things,Frosting,Icing,fondant,Icing,Icing,I believe icing is thinner and less viscous than frosting.
2/24/2016 8:53:46,Yes,CA,21-30 years old,I know a lot about baking,Different things,Frosting,Icing,fondant,Icing,Icing,"Frosting is thick and creamy, icing is thin and hardens as it dries"
2/24/2016 11:11:03,Yes,CA,21-30 years old,I only know a little about baking,Different words for the same thing,Either frosting or icing,Icing,Frosting,Icing,Icing,"After I started rating them, I guess I think of 'icing' as a thinner layer of harder sugar-paste, and 'frosting' as a thicker layer of softer sugar-paste."
2/24/2016 10:00:13,Yes,CA,21-30 years old,I know some things about baking,Different things,Frosting,Glaze,Icing,Icing,Icing,
2/24/2016 16:16:14,Yes,CA,21-30 years old,I know a lot about baking,Different things,Frosting,Glaze,Icing,Icing,Icing,
2/24/2016 21:59:32,Yes,CA,21-30 years old,I know very little about baking,Different things,Frosting,Frosting,Icing,Either frosting or icing,Frosting,
2/24/2016 8:50:44,Yes,CA,51-60 years old,I know a lot about baking,Different words for the same thing,Frosting,Icing,fondant,Icing,glaze,"Frosting and icing can be used interchangeably, but I'm more likely to use ""frosting"" for a thick or textured coating and ""icing"" for a thin, flat coating. Also I'm more likely to say ""iced donut"" than ""frosted donut"" -- it just sounds right. "
